name,image_url
Yin-Yang 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Yin-Yang_0_7.png
Chili Pepper 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Chili_Pepper_0_4.png
Fish Skeleton 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Fish_Skeleton_0_7.png
Sakura 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Sakura_0_7.png
Moon Eagle 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Moon_Eagle_0_7.png
Shield 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Shield_0_7.png
Flower Tulip 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Flower_Tulip_0_7.png
Eagle 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Eagle_0_7.png
Hot Matcha 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Hot_Matcha_0_7.png
Inca Sun 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Inca_Sun_0_7.png
Plum 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Plum_0_7.png
Shako 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Shako_0_7.png
Illuminati 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Illuminati_0_7.png
Croissant 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Croissant_0_5.png
Seahorse 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Seahorse_0_7.png
Lion King 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Lion_King_0_4.png
Snail 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Snail_0_2.png
Thunderbird 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Thunderbird_0_7.png
Tetsubin 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Tetsubin_0_7.png
Visor 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Visor_0_7.png
Party Hat 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Party_Hat_0_2.png
Calm Wolf 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Calm_Wolf_0_7.png
Bottlenose 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bottlenose_0_4.png
Sea Dragon 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Sea_Dragon_0_7.png
Novus Ordo 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Novus_Ordo_0_5.png
Pickaxe 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Pickaxe_0_2.png
Pencil 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Pencil_0_2.png
Bastet 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bastet_0_7.png
Tricorne 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Tricorne_0_4.png
Diamond 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Diamond_0_2.png
Porrige 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Porrige_0_4.png
Cash 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cash_0_4.png
Aztec Falcon 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Aztec_Falcon_0_4.png
Clover 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Clover_0_7.png
Wizard Hat 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Wizard_Hat_0_2.png
