model,model_image_url
Pro Gamer 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Pro_Gamer_2.tgs
Game Console 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Game_Console_2.tgs
Sardines 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Sardines_2.tgs
Cherry Ruby 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Cherry_Ruby_1.tgs
Big Cubus 2.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Big_Cubus_2.tgs
Bomb Planted 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Bomb_Planted_1.tgs
Oranges 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Oranges_2.tgs
Fashion Bag 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Fashion_Bag_1.tgs
Firestarter 2.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Firestarter_2.tgs
Domino 3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Domino_3.tgs
Buzzy Bee 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Buzzy_Bee_2.tgs
Harlequin 2.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Harlequin_2.tgs
Molten Core 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Molten_Core_2.tgs
Keyboard 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Keyboard_2.tgs
Mimic Chest 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Mimic_Chest_2.tgs
Cheesecake 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Cheesecake_1.tgs
Toxic Ooze 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Toxic_Ooze_2.tgs
Delicate Wash 2.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Delicate_Wash_2.tgs
VHS Tape 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/VHS_Tape_2.tgs
Nuclear Waste 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Nuclear_Waste_1.tgs
Luggage 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Luggage_1.tgs
Grand Piano 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Grand_Piano_1.tgs
Poker Chips 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Poker_Chips_2.tgs
Emerald 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Emerald_1.tgs
Safe Box 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Safe_Box_1.tgs
Pyramid 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Pyramid_1.tgs
Infinity Box 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Infinity_Box_1.tgs
El Dorado 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/El_Dorado_1.tgs
Concrete 3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Concrete_3.tgs
